GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,112,2,15,1,22,2,9,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,73,187,5,8,16,53,4,10,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,40,22,8,0,10,9,9,4,5,4
parking-system,com.parkit.parkingsystem.model,Ticket,10,49,0,0,4,21,3,14,3,14
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,310,4,12,0,83,1,12,1,6,1
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,103,4,4,0,28,1,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,89,0,6,0,35,0,9,0,6,0
